english,hindi,polarity
continuity,कंटीन्यूटी,positive
cool,कूल,positive
cooperative,अधिक सहयोगी,positive
correct,सही,positive
correctly,सही ढंग से,positive
courage,साहस,positive
courageous,साहसी,positive
creative,रचनात्मक,positive
crisp,कड़क,positive
cure,इलाज,positive
daring,साहसी,positive
dawn,सूर्योदय,positive
dedicated,समर्पित,positive
defeat,सबसे बड़ी हार दी,positive
defeated,जानवर को हराया,positive
delicate,कोमलता से,positive
delicious,स्वादिष्ट लगते हैं ।,positive
dependable,विश्वसनीय,positive
desiring,की इच्छा होगा,positive
dignity,इज्जत,positive
eager,उत्सुक,positive
eagerly,बेसब्री से,positive
ease,सरलता,positive
easier,इतना आसान नहीं था,positive
easiest,सबसे आसान,positive
easing,बैंक द्वारा मुद्रा की आपूर्ति में नई मुद्रा की शुरुआत,positive
easy,आसान,positive
economical,किफायती,positive
educated,शिक्षित,positive
effective,प्रभावी,positive
effectively,से रोक,positive
effectiveness,प्रभावशीलता,positive
efficiently,इनके कुशलता से,positive
effusion,बहाव का कारण बनता है,positive
elan,जोश,positive
elegance,भव्यता से युक्त बनाता है,positive
elevate,भा जाएँ,positive
elite,इलीट,positive
empower,को सशक्त करें,positive
encourage,प्रोत्साहित करें,positive
encouragement,प्रोत्साहित करने,positive
endorse,समर्थन करें,positive
endorsed,समर्थित,positive
enhance,को निखारेंगे,positive
enhanced,संवर्धित,positive
enhancement,वृद्धि,positive
enjoy,का आनंद लें,positive
enjoyed,मज़ा आया,positive
enjoying,का आनंद लेते हुए,positive
enlightenment,आत्मज्ञान,positive
entertain,मनोरंजन,positive
entertaining,मनोरंजक,positive
entice,प्रलोभन मिलता है,positive
enticing,की मोहकता,positive
envy,ईर्ष्या के बीज,positive
exceeded,पार हो चुका है,positive
exceeding,से अधिक,positive
exceeds,से अधिक,positive
excel,एक्सेल,positive
excellent,उत्कृष्ट,positive
excellently,विशेष रूप,positive
exceptionally,विशि‍ष्ट रूप से,positive
excited,उत्तेजित,positive
exquisite,उत्कृष्ट,positive
fair,मेला,positive
fairly,काफी,positive
faith,विश्वास,positive
fancy,फैंसी,positive
fans,प्रशंसकों को आवाज़ दी जाती है,positive
fascinating,दिलचस्प रंगीन,positive
fashionable,फैशनेबल,positive
fav,मनपसंद,positive
fearless,दंबगों,positive
feat,फीट,positive
feisty,साहसी,positive
fertile,फ़र्टाइल,positive
festive,जलवा,positive
finely,से बने,positive
finest,बेहतरीन,positive
flattering,प्रशंसनीय,positive
flexibility,लचीलेपन को विकसित करता है,positive
flutter,स्पंदन,positive
fond,शौकीन,positive
foremost,महत्वपूर्ण,positive
fortunately,सौभाग्य से,positive
fulfillment,पूर्ति,positive
futuristic,भविष्यउन्मुखी,positive
gain,बढ़ना,positive
gained,कर पाई,positive
gains,मजबूत,positive
galore,प्रचुर मात्रा में,positive
gems,रत्न पहने जाएँ,positive
gentle,जेंटल,positive
glamorous,आपके वॉरड्रोब मे,positive
glitz,तड़क - भड़क,positive
glorify,को निखारने,positive
glow,चमक को सुनिश्चित करता है,positive
godsend,का,positive
gorgeous,खूबसूरत,positive
grace,ग्रेस के प्रेम में बुरी तरह पागल हैं,positive
grand,ग्रैंड,positive
guidance,मार्गदर्शन,positive
gusto,जोश दिखाओ,positive
hail,जय,positive
happily,खुशी से,positive
hardy,पीछे बैठने वाले,positive
harmless,हानिरहित,positive
harmony,मेल मिलाप,positive
healthy,स्वस्थ,positive
helped,कुछ किया,positive
helping,मदद के लिए,positive
heroine,हीरोइन,positive
hilarious,प्रफुल्लित करने वाला,positive
homage,जलसा शायरे,positive
hooray,हुर्रे,positive
hottest,हॉटैस्ट,positive
ideal,आदर्श रंग और स्टाइल आपके आकर्षण में चार चांद लगा,positive
ideally,आदर्श रूप में,positive
imaginative,इमेजनेटिव,positive
immense,विशाल,positive
important,महत्वपूर्ण,positive
impress,प्रभावित,positive
impressed,प्रभावित,positive
improve,में सुधार,positive
incredible,अविश्वसनीय,positive
incredibly,अविश्वसनीय रूप से,positive
inexpensive,सस्ती,positive
influential,प्रभावशाली,positive
insightful,पुरे जानकारीपूर्ण,positive
integral,एकीकृत,positive
interesting,दिलचस्प,positive
interests,हितों,positive
intimate,इंटीमेट,positive
intricate,बारीक,positive
intuitive,मज़ेदार,positive
invincible,अजेय,positive
kindly,कृपया,positive
knowledgeable,ज्ञान है,positive
leads,आगे ले जाती है,positive
led,श्रेष्ठ चमकीली खास तौर पर निर्मित एलईडी,positive
like,की तरह,positive
likes,पसंद करती है,positive
liking,पसंद,positive
lively,जीवंत,positive
loved,प्यार किया,positive
lover,प्रेमी,positive
loves,प्यार करता है,positive
loving,प्यार करना,positive
lucid,स्पष्ट अर्थ का,positive
luxury,लग्ज़री,positive
magic,जादू,positive
masterpiece,मास्टरपीस,positive
masters,स्वामी,positive
mature,परिपक्व,positive
merit,शिक्षक अभ्यर्थियों की मेधा,positive
merry,मैरी,positive
mind-blowing,जो आपके होश उड़ा देगी !,positive
miracles,चमत्कारों,positive
modesty,इस लोक,positive
neat,साफ,positive
neatly,अच्छे से,positive
nicely,अच्छी तरह से,positive
oasis,ओएसिस,positive
openly,"का , खुलकर करें बखान",positive
optimal,इष्टतम,positive
ovation,ओवेशन,positive
painless,दर्दरहित,positive
paradise,स्वर्ग,positive
pardon,माफी,positive
patient,रोगी,positive
peach,आड़ू,positive
pep,उत्साहवर्धक,positive
perfect,सही,positive
perfection,से संपूर्ण,positive
perfectly,सही तरीके से,positive
personalized,निजीकृत,positive
phenomenal,अद्भुत,positive
pleasantly,सुख से,positive
portable,पोर्टेबल,positive
posh,बढि़या,positive
positive,सकारात्मक,positive
positively,सकारात्मक,positive
powerful,शक्तिशाली,positive
praise,आरती कीजै,positive
precious,कीमती,positive
precise,सटीक,positive
prefers,हम उम्र आदमियों,positive
profoundly,पूरी तरह से बेहतर,positive
promised,वादा किया था,positive
properly,सही तरीके से,positive
pros,प्रॉस,positive
prosper,समृद्ध होने,positive
protect,रक्षा करता है,positive
proven,सिद्ध,positive
proves,साबित करता है,positive
pure,शुद्ध,positive
qualify,अर्हता प्राप्त कर ली,positive
radiance,लाता है,positive
readily,आसानी से,positive
realistic,वास्तविक हैं,positive
recommendation,सिफारिश करने दें,positive
recommended,अनुशंसित,positive
reconcile,सामंजस्य बनाते,positive
recover,लगे ।,positive
rectify,सुधारने,positive
rectifying,का समाधान कर रहे,positive
redeem,रीडीम,positive
refine,परिष्कृत करें,positive
refresh,ताजा करें,positive
refreshed,रिफ्रेश करने पर,positive
refreshing,ताज़ी,positive
refunded,वापिस नहीं,positive
regal,राजसी,positive
regard,संबंध,positive
rejuvenated,जोशपूर्ण अनुभूति देता है,positive
relaxed,आराम करते हैं,positive
reliable,विश्वसनीय,positive
renaissance,अ रेनेंसा,positive
replaceable,बदले जाने योग्य,positive
responsibly,जिम्मेदारी से,positive
restored,सुधारा गया,positive
reward,इनाम,positive
richness,होंगी सरिस्का जैसे,positive
right,सही,positive
rightfully,सही तरीके से,positive
robust,मजबूत,positive
safely,सुरक्षित तरीके से,positive
sane,मत कहना कि ये समझदारी भरा,positive
satisfactory,संतोषजनक,positive
satisfies,अपनी,positive
satisfying,संतोषजनक,positive
saver,सेवर,positive
savings,बचत का लाभ उठाएं,positive
savvy,आज की आधुनिक,positive
securely,सुरक्षित तरीके से,positive
sensation,सनसनी,positive
sensational,सनसनीखेज,positive
sexy,सेक्सी,positive
sharp,कोना,positive
sharper,के लिये,positive
significant,महत्वपूर्ण,positive
simplifies,को सरल बनाता है,positive
sincerely,दिल से,positive
skill,कौशल,positive
sleek,संकरे,positive
smart,स्मार्ट,positive
smartly,सुंदर तरीके से,positive
smiles,मुस्कराती है ।,positive
smiling,मुस्कुराते हुए,positive
smoothly,सुचारु रूप से चलाने वाले वाचमैनों,positive
soothe,को यूं राहत,positive
spacious,बहुत बड़ा,positive
sparkle,द्वारा अभूतपूर्व तरीके से सजाएँ,positive
sporty,स्पोरटी,positive
stability,स्थिरता,positive
stabilize,स्थिर,positive
stable,स्थिर,positive
stainless,स्टेनलेस स्टील,positive
steadfast,स्टेडफास्ट,positive
steady,स्थिर,positive
striving,प्रयास कर रहा है,positive
strong,मजबूत,positive
stronger,मजबूत,positive
strongest,सबसे मजबूत,positive
stunned,दंग रह गया,positive
stunningly,के नहीं,positive
sturdy,मज़बूत,positive
stylish,स्टाइलिश,positive
sublime,का,positive
succeed,सफल हो सकती है,positive
succeeded,सफल रहा,positive
succes,सफलता,positive
success,सफलता,positive
successful,सफल,positive
successfully,सफलतापूर्वक,positive
sufficiently,पर्याप्त रूप से,positive
suitable,उपयुक्त,positive
support,समर्थन,positive
supported,समर्थित,positive
supporting,समर्थन,positive
supports,का समर्थन करता है,positive
sustainability,स्थिरता,positive
sweetheart,मेरे प्रिय,positive
swift,स्विफ्ट,positive
terrific,बहुत बढ़िया,positive
thankful,कृतज्ञ,positive
thoughtfulness,सावधानी को सराहा गया,positive
thrift,किफायती,positive
thriving,फलते - फूलते जा रहे,positive
tickle,गुदगुदी करें,positive
timely,समय पर,positive
top,शीर्ष,positive
tough,कड़ी सतह छोटी - मोटी,positive
trendy,ट्रेंडी,positive
triumph,ट्राइंफ,positive
trophy,ट्रॉफी,positive
trust,पर भरोसा,positive
trusted,विश्वसनीय,positive
trustworthy,भरोसेमंद,positive
truthfully,सच में,positive
unabashed,आवरणरहति,positive
unforgettable,अविस्मरणीय रमणीय,positive
unity,एकता,positive
unquestionably,मोहरा दुकानों,positive
upgraded,अपग्रेडेड,positive
uplift,बनी हैं,positive
usable,प्रयोग करने योग्य,positive
useful,उपयोगी,positive
valuable,कीमती,positive
variety,किस्म,positive
versatile,चलन में,positive
vibrant,जीवंत,positive
viewable,देख सकती,positive
vivid,विशद,positive
warmer,गर्म करने वाला,positive
welcome,आपका स्वागत है,positive
well,अच्छी तरह से,positive
winners,विजेताओं,positive
wins,जीत गया,positive
wisdom,ज्ञान,positive
wisely,बुद्धिमानी से करें,positive
witty,मजाकिया,positive
wonder,आश्चर्य हुआ,positive
wonders,आश्चर्य हुआ,positive
worked,काम किया,positive
works,काम करता है,positive
zest,का रस,positive
abrasive,संपर्क में आने से बचाएं,negative
abused,उत्पीड़न,negative
accidental,दुर्घटना में,negative
ache,में दर्द,negative
ached,पसीजा,negative
addict,नशेड़ी,negative
addicted,आदी,negative
addicting,लत पड़ने वाले,negative
adversity,के सताये,negative
afraid,डरना,negative
aggression,आक्रामकता,negative
aloof,अलग अनुभव कर सकते हैं,negative
angry,गुस्सा,negative
annoy,परेशान करो,negative
annoys,गुस्सा दिलाता है,negative
anxious,उत्सुक,negative
arrogant,एरोगेंट,negative
assault,हमला,negative
attack,हमला,negative
averse,के खिलाफ,negative
awful,बहुत बुरा,negative
awkward,अजीब,negative
ax,एएक्स,negative
backward,पीछे जाने,negative
bankrupt,दिवालिया,negative
bastard,कमीने,negative
bastards,कमीने,negative
battered,पीड़ित,negative
beg,भीख मांगता हूँ,negative
begging,भीख माँग रहा,negative
bent,आमादा,negative
bewildering,विस्मयकारी,negative
bitter,कड़वा,negative
blame,दोष,negative
bland,फीका,negative
bleeding,ब्लीडिंग खून बह रहा है,negative
blind,अंधा,negative
blow,आघात लगा ।,negative
blunt,कुंद,negative
bogus,पदों की फर्जी,negative
boiling,उबलना,negative
boisterous,मस्ती भरे,negative
bomb,बम,negative
bombard,ने की,negative
bored,ऊबना,negative
bothers,परेशान करता है,negative
boycott,बहिष्कार,negative
brat,साहबजादा,negative
breakdown,टूटना,negative
breaks,टूट जाता है,negative
brittle,की चिक्की,negative
broke,तोड़ दिया,negative
broken,टूटा हुआ,negative
brutal,क्रूर,negative
bs,बी एस,negative
buckle,बकल,negative
bug,बग,negative
buggy,बगी,negative
bugs,कीड़े,negative
bullies,बुलीज,negative
bullshit,बकवास,negative
bunk,बंक,negative
burn,जलाना,negative
burning,जलना,negative
burns,जला,negative
bust,सीना,negative
butcher,कसाई,negative
calamities,आपदाएं,negative
cancer,कैंसर,negative
capricious,मौजी,negative
caricature,कार्टून,negative
challenging,रहा,negative
chaos,हलचल मच गई,negative
cheated,धोखा दिया,negative
cheats,छिपा कर लाते हैं,negative
childish,बचकाना,negative
clogged,जाम हो जाते हैं,negative
clueless,"अंजान , चारों ओर देख रहा",negative
coarse,अपरिष्कृत,negative
complaining,शिकायत करना,negative
complex,जटिल,negative
complicated,जटिल,negative
concerns,चिंता है,negative
confess,मानता हूँ,negative
confined,सीमित,negative
conflicts,विरोधों,negative
confounded,हैरान,negative
confounding,गड़बड़ी करने वाले,negative
confused,उलझन में,negative
conspiracy,गहरी साजिश,negative
contagious,संक्रामक,negative
contamination,संदूषण,negative
contempt,अवहेलना मंजूर,negative
controversial,विवादास्पद,negative
controversy,कंट्रोवर्सी,negative
corrosion,जंग,negative
corrosive,संक्षारक,negative
crack,क्रैक,negative
cracked,टूटी,negative
cracks,दरार,negative
crap,इस तरह के बकवास,negative
crashed,दुर्घटनाग्रस्त हो गया,negative
crashes,करने,negative
crashing,दुर्घटनाग्रस्त हुए,negative
creeping,रेंगती,negative
creeps,चिंताएं दे दो,negative
crime,अपराध,negative
criminal,आपराधिक,negative
cripples,अपंग,negative
crisis,संकट,negative
critical,महत्वपूर्ण,negative
criticisms,रूढ़िवादि आलोचनाओं,negative
criticizing,आलोचना नहीं,negative
crowded,भीड़,negative
cruelty,क्रूरता,negative
crush,क्रश,negative
cry,रोना,negative
damage,क्षति,negative
damages,हर्जाना,negative
damn,लानत है,negative
daze,डेज,negative
dazed,घबराया हुआ,negative
decay,क्षय,negative
deceitful,ये धोखेबाज़,negative
declines,का,negative
defect,दोष,negative
defects,दोष,negative
defensive,रक्षात्मक,negative
deficiencies,विकारों का उपचार,negative
deficiency,डेफिसिएंसी,negative
defy,को चुनौती दें,negative
degradation,में गिरावट,negative
delayed,देरी से,negative
delays,ऑपरेशन टले,negative
delusion,की भ्रान्ति,negative
demon,दानव,negative
denial,इनकार,negative
denied,इनकार कर दिया,negative
dense,सघन,negative
dents,खरोंच,negative
deny,इनकार,negative
depressed,उदास लग रहा है,negative
depression,डिप्रेशन,negative
desert,रेगिस्तान,negative
desperate,मायूस,negative
destroy,नष्ट करें,negative
deter,को रोकने में,negative
deviation,विचलन,negative
devil,शैतान,negative
die,मरना,negative
died,मर गया,negative
dies,की मौत,negative
difficult,मुश्किल,negative
difficulties,में कठिनाई,negative
difficulty,बड़ी मुश्किल,negative
dim,मंद,negative
dings,खनखन,negative
dire,डायर,negative
dirt,वाली रेतीली धूल निकल जाती है,negative
disable,निष्क्रिय करें,negative
disabled,अक्षम,negative
discomfort,में बेचैनी,negative
discontinued,बंद किया,negative
discourage,को हतोत्साहित करो,negative
disobedience,अवज्ञा,negative
disputed,विवादित,negative
dissed,का अपमान किया था,negative
distortion,डिस्टोर्शन,negative
distress,संकट,negative
doubts,संदेह,negative
downside,सवाल का,negative
drawback,ड्रॉबैक मिल रहे हैं,negative
dropout,छोड़ने वाला,negative
drought,सूखे,negative
drunk,नशे में,negative
dubious,इस,negative
dumped,की गयी मल - जल निकासी,negative
dying,दम तोड़ रहा,negative
embarrass,शर्मिंदा करते हैं,negative
entangle,को उलझाते,negative
epidemic,संक्रामक हो रहा है,negative
erosion,कटाव,negative
evasion,की चोरी,negative
excessively,देना,negative
exclusion,अपवर्जन,negative
excuse,बहाना,negative
excuses,बहाने,negative
exhausted,थका हुआ,negative
expired,समाप्त हुआ,negative
explode,लगभग विस्फोट,negative
exploit,शोषित आजमाएं,negative
exploitation,शोषण करना,negative
explosive,विस्फोटक,negative
extinguish,कब बुझेगी,negative
fail,विफल,negative
failed,विफल,negative
fails,विफल,negative
failure,विफलता,negative
failures,विफलता का कारण,negative
fall,पड़ना,negative
fallen,प्यार हो गया,negative
falling,गिरना,negative
false,बनावटी,negative
fanatic,कट्टर,negative
fanatics,फैनाटिक्स,negative
farce,को दिखावा करार किया,negative
fatal,घातक हो गया,negative
fatty,फैटी,negative
feckless,बेफिक्र,negative
fell,गिर गया,negative
fiend,के शौकदारो के किस्से,negative
fierce,बहतरीन,negative
flair,मज़ा,negative
flake,पागल थी,negative
flaunt,लैक्मे द्वारा,negative
flaw,दोष होना,negative
flee,पिस्सू,negative
fleeting,क्षणिक,negative
flirt,फ्लर्ट करके,negative
fool,बेवकूफ समझ बैठता है ।,negative
fooled,ने सीआईए,negative
foolish,बेवकूफ आदमी,negative
forbid,न करे,negative
forbidden,वर्जित,negative
forged,ने बनाए,negative
freak,सनकी बनाता है,negative
fried,तला हुआ,negative
frozen,जमे हुए,negative
frustration,भड़ास,negative
fume,धुएं का,negative
funky,फंकी,negative
fury,कहर,negative
fuss,उपद्रव,negative
gangster,गैंगस्टर,negative
garbage,कचरा,negative
grate,घिस लो,negative
grievances,शिकायतों,negative
grind,पीसने,negative
gross,सकल,negative
grouse,ग्रोउस,negative
grumpy,क्रोधी,negative
guilty,दोषी करार,negative
gutter,गटर का,negative
hack,हैक,negative
hangs,ने लगायी फांसी,negative
harassment,उत्पीड़न,negative
hard,मुश्किल,negative
hate,नफरत है,negative
hated,नफ़रत थी,negative
haters,हैर्ट्स,negative
haunting,बार - बार याद आने वाली,negative
havoc,"कहर ,",negative
headache,सिर दर्द का,negative
heartless,हृदयहीन,negative
hefty,पर भी,negative
heresy,हरसे,negative
hinder,बनी,negative
hogs,सूअर,negative
hostilities,लोग मारे गए तब युद्ध,negative
hum,द हम,negative
hurting,को नुकसान पहुंचा रहा है,negative
hurts,दर्द होता है,negative
ignorance,अज्ञानता,negative
ignorant,अज्ञानी,negative
ignore,को अनदेखा करें,negative
illegal,अवैध,negative
illiterate,इन विद्यावानों,negative
impatiently,बेसब्री से,negative
impediment,रुकावट है,negative
imperfect,अपूर्ण,negative
imperfectly,अपूर्ण किंतु बिल्कुल,negative
implication,प्रभाव,negative
impulsive,ये दस्तावेज़ आवेगी,negative
inaccuracies,गलतियों,negative
inaccuracy,गलती से,negative
inaccurate,अनुचित है,negative
incomplete,अपूर्ण,negative
incorrect,गलत,negative
indignation,क्रोध ईर्ष्या का एक रूप,negative
inevitable,ज़रुरी,negative
infected,संक्रमित,negative
infection,संक्रमण,negative
infections,संक्रमण,negative
infernal,नारकीय,negative
injustice,अन्याय,negative
insanity,सबब,negative
insatiable,लालची है,negative
insurmountable,दूर न किए जा सकने वाले,negative
interfere,हस्तक्षेप,negative
intrusion,"आतंकवादी ठिकाने का भंडाफोड़ , घुसपैठ",negative
invader,इन्वेडर,negative
irony,विडम्बना !,negative
irregular,टायर के ऊपरी हिस्से के अनियमित,negative
irregularity,की अनियमितता का,negative
irritable,इर्रिटेबल,negative
irritate,जलन पैदा,negative
irritating,तकलीफदेह,negative
irritation,जलन,negative
irritations,जलन से बचने में मददगार,negative
isolate,अलग करने,negative
isolated,एकांत में,negative
issues,मुद्दे,negative
itch,खुजली वाले लोगों,negative
itchy,खुजली पैदा करती हैं,negative
jam,जाम,negative
jealous,जलन हो रही है,negative
jealousy,डाह करना,negative
jeopardize,खतरे में डालने,negative
junk,जंक,negative
kill,मारना,negative
killer,किलर,negative
killing,मार रहा है,negative
kills,मारता है,negative
lack,कमी,negative
lacking,कमी,negative
lacks,का अभाव का,negative
lags,पीछे छोड़ा,negative
leak,रिसाव के चलते एक छोटी सी भूल भारी पड़ सकती,negative
leakage,लीकेज,negative
lemon,नींबू,negative
lengthy,लंबी,negative
liable,उत्तरदायी,negative
liars,के लिये रोजवुड की,negative
lier,बहुत,negative
limit,सीमा,negative
limitation,सीमा,negative
limitations,सीमाओं,negative
limited,सीमित,negative
limits,सीमा,negative
loathe,नफरत करता हूँ,negative
loot,लूट,negative
loser,हारने वाला,negative
losers,फिसड्डियों,negative
losses,हानियों,negative
loud,जोर से,negative
louder,की आवाज ऊंची,negative
maddening,ही बौराने का,negative
madman,मैडमैन,negative
martyrdom,तौर पर शहादत,negative
mashed,मैश किए हुए,negative
matte,मैट,negative
mediocre,अजीब होना औसत होने,negative
mess,गड़बड़,negative
mischief,शरारत,negative
misconceptions,गलतफहमी,negative
miss,याद आती है,negative
missed,याद किया,negative
mistake,गलती,negative
mistaken,गलत,negative
mistakes,गलतियाँ,negative
misunderstanding,गलतफहमी,negative
mocked,का,negative
moot,विवादास्पद,negative
motionless,स्थिर,negative
mourn,ने शोक जताया ।,negative
mystery,रहस्य,negative
myth,मिथक,negative
nagging,परेशान करना,negative
naughty,शरारती,negative
nightmare,बुरे ख्वाब की तैयारी,negative
nonsense,बकवास,negative
nuisance,बनी मुसीबत,negative
obsessive,ज़ुनूनी,negative
obstructing,बाधा डालना,negative
odor,गंध,negative
offence,अपराध,negative
offender,अपराधी,negative
opponent,प्रतिद्वंद्वी को,negative
oppression,उत्पीड़न,negative
outsider,यह बाहरी लोगों,negative
overdue,काफी समय से बाकी,negative
pains,पीड़ा,negative
pan,पैन,negative
panic,आकस्मिक भय,negative
parody,पैरोडी,negative
passe,पुराने जमाने के हो गये,negative
passive,परोक्ष,negative
paucity,कमी,negative
payback,ऋण वापसी की,negative
pest,कीट,negative
petrified,सख्त,negative
pigs,सूअर,negative
pinch,चुटकी,negative
plea,याचिकाओं,negative
pleas,कृपया,negative
poison,विष ।,negative
pollute,मैली,negative
polution,प्रदूषण,negative
poorly,खराब जल निकासी,negative
pretend,का दिखावा,negative
prisoner,कैदी,negative
problem,समस्या,negative
problems,समस्याएं,negative
protest,पानी की किल्लत,negative
protests,सरकार विरोधी प्रदर्शनों में,negative
punish,दंडित,negative
punk,पंक,negative
puzzled,हैरान,negative
queer,क्वीयर,negative
racism,कि नस्लवाद,negative
racist,जातिवाद करने वाला,negative
radical,मूलक,negative
rage,क्रोध,negative
raging,लगाना,negative
rail,रेल,negative
rampage,की भगदड़,negative
rape,रेप,negative
rash,रेश,negative
recession,मंदी,negative
redundant,निरर्थक बनाया जाएं,negative
refusal,से इनकार करना,negative
refuse,मना कर दिया,negative
refused,मना कर दिया ।,negative
refusing,मना करना,negative
rejects,ने खारिज की,negative
relentless,इरादा,negative
repetitive,दोहराए गए,negative
resent,गुस्सा आता है,negative
resignation,इस्तीफा,negative
restlessness,बैचेनी मालूम हुई,negative
restricted,प्रतिबंधित,negative
retard,मंदबुद्धि,negative
retarded,मंदबुद्धि है,negative
retreat,पीछे हट जाओ,negative
rift,दरार,negative
rigid,सख्त,negative
ripped,रिप्पड़,negative
rival,प्रतिद्वंद्वी,negative
rocky,रॉकी,negative
rotten,सड़ा हुआ,negative
rubbish,बकवास,negative
ruin,बर्बाद,negative
ruined,का,negative
ruining,को बर्बाद करने,negative
rumor,अफ़वाह,negative
rumors,अफवाहों,negative
rumours,अफवाहें हैं,negative
runaway,भगोड़ा,negative
rust,जंग,negative
ruthless,ग़लती मत,negative
sack,बोरी,negative
sad,दुख की बात है,negative
sadness,बदली !,negative
satirical,अपनी,negative
scandalous,सनसनीखेज खुलासा !,negative
scar,वह क्षतिग्रस्त,negative
scare,डर लगता है,negative
scorching,भीषण,negative
scrambled,तले हुए,negative
scratch,खरोंच,negative
scratched,खरोच दिया,negative
scratches,खरोंच,negative
selfish,स्वार्थी,negative
severe,गंभीर,negative
severity,गंभीरता,negative
shabby,इतना भी फटा - पुराना,negative
shady,संदेहात्मक,negative
sham,शैम,negative
shame,शर्म करो,negative
shiver,का,negative
shocked,सदमे में,negative
short-lived,घुसपैठ अल्पकालीन सिद्ध हुई,negative
shortage,की कमी,negative
shortness,तकलीफ,negative
shun,भी,negative
sickness,सिकनेस,negative
sink,सिंक,negative
skeletons,नर कंकालो,negative
skeptical,उलझन थी,negative
slack,मंदी,negative
slander,बदनाम,negative
slap,थप्पड़ मारा,negative
slaves,दासों,negative
slower,धीमी गति,negative
slump,मज़बूती,negative
slur,कलंक,negative
smack,स्मैक,negative
smash,स्मैश,negative
smear,स्मीयर,negative
smell,गंध,negative
smoke,धूम्रपान करते हैं ?,negative
sneak,चुपके से,negative
sorry,माफ़ कीजिए,negative
spank,शिकस्त दिया,negative
spews,उगलती हैं,negative
split,बंटी हुई,negative
spoiled,खराब हो गया,negative
spoils,लूट,negative
steal,कम होना,negative
stealing,की चोरी कर रहा,negative
steep,खड़ी,negative
stench,बदबू,negative
stereotype,रूढ़िवादी,negative
stern,स्टर्न,negative
stew,का स्टू,negative
stink,बदबूदार,negative
stole,चुरा लिया,negative
strange,अजीब,negative
stranger,अजनबी,negative
strict,सख्त,negative
strictly,कठोरता से,negative
strike,हड़ताल,negative
stringent,कड़े,negative
struggled,संघर्ष किया,negative
struggles,संघर्ष करके,negative
struggling,संघर्ष करते हुए,negative
stubborn,जिद्दी,negative
stuck,फंस गया,negative
stuffy,भरी हुई,negative
stumble,टकराओ,negative
stumped,अटक गये,negative
stun,को चकित कर दें,negative
stunt,स्टंट,negative
stupidity,मूर्खता को परास्त कर देती,negative
subdued,की खुशी फीकी,negative
sucked,लगभग ख़त्म,negative
sucks,बेकार है,negative
suffer,पीड़ित हैं,negative
suffered,सही,negative
suffers,भुगतता है,negative
suicide,की वजह से आत्महत्या कर लेना,negative
sunk,दर्रे,negative
surrender,आत्मसमर्पण,negative
swelling,सूजन,negative
swipe,स्वाइप करें,negative
swollen,सूजे हुए,negative
symptom,लक्षण के,negative
syndrome,सिंड्रोम,negative
tank,टैंक,negative
tanks,टैंकों,negative
tease,चिढ़ाओ,negative
temper,गुस्सा,negative
terror,आतंक,negative
terrorism,आतंकवाद,negative
threaten,धमकी,negative
